site: 14943, year: 1986, gap-filled: 6
site: 14943, year: 1987, gap-filled: 3
site: 14944, year: 1975, gap-filled: 13
site: 14944, year: 1990, gap-filled: 3
site: 21504, year: 1981, gap-filled: 96
site: 21504, year: 1983, gap-filled: 3
site: 22521, year: 1984, gap-filled: 3
site: 22536, year: 1988, gap-filled: 6
site: 22536, year: 1989, gap-filled: 3
site: 23023, year: 1973, gap-filled: 17
site: 23023, year: 1975, gap-filled: 6
site: 23023, year: 1979, gap-filled: 10
site: 23023, year: 1983, gap-filled: 6
site: 23023, year: 1986, gap-filled: 5
site: 23023, year: 1987, gap-filled: 2
site: 23023, year: 1990, gap-filled: 2
site: 23034, year: 1964, gap-filled: 2
site: 23034, year: 1983, gap-filled: 1
site: 23034, year: 1987, gap-filled: 3
site: 23042, year: 1962, gap-filled: 2
site: 23042, year: 1964, gap-filled: 2
site: 23042, year: 1973, gap-filled: 71
site: 23042, year: 1979, gap-filled: 196
site: 23042, year: 1986, gap-filled: 3
site: 23044, year: 1973, gap-filled: 3
site: 23044, year: 1975, gap-filled: 1
site: 23044, year: 1977, gap-filled: 1
site: 23044, year: 1978, gap-filled: 1
site: 23044, year: 1987, gap-filled: 2
site: 23047, year: 1962, gap-filled: 1
site: 23047, year: 1968, gap-filled: 1
site: 23047, year: 1974, gap-filled: 75
site: 23047, year: 1976, gap-filled: 3
site: 23047, year: 1977, gap-filled: 4
site: 23047, year: 1978, gap-filled: 5
site: 23047, year: 1979, gap-filled: 1
site: 23047, year: 1980, gap-filled: 2
site: 23047, year: 1982, gap-filled: 1
site: 23047, year: 1983, gap-filled: 1
site: 23047, year: 1984, gap-filled: 4
site: 23047, year: 1990, gap-filled: 3
site: 23050, year: 1962, gap-filled: 1
site: 23050, year: 1963, gap-filled: 1
site: 23050, year: 1975, gap-filled: 2
site: 23050, year: 1981, gap-filled: 1
site: 23050, year: 1982, gap-filled: 1
site: 23050, year: 1984, gap-filled: 1
site: 23050, year: 1989, gap-filled: 1
site: 23050, year: 1990, gap-filled: 2
site: 23063, year: 1962, gap-filled: 4
site: 23065, year: 1964, gap-filled: 2
site: 23065, year: 1975, gap-filled: 3
site: 23065, year: 1982, gap-filled: 1
site: 23065, year: 1987, gap-filled: 15
site: 23065, year: 1990, gap-filled: 2
site: 23066, year: 1961, gap-filled: 2
site: 23066, year: 1962, gap-filled: 2
site: 23066, year: 1963, gap-filled: 1
site: 23066, year: 1984, gap-filled: 2
site: 23066, year: 1985, gap-filled: 1
site: 23066, year: 1987, gap-filled: 6
site: 23066, year: 1988, gap-filled: 3
site: 23129, year: 1984, gap-filled: 3
site: 23154, year: 1981, gap-filled: 2
site: 23154, year: 1983, gap-filled: 1
site: 23154, year: 1985, gap-filled: 2
site: 23154, year: 1986, gap-filled: 1
site: 23154, year: 1987, gap-filled: 4
site: 23154, year: 1988, gap-filled: 1
site: 23154, year: 1989, gap-filled: 2
site: 23154, year: 1990, gap-filled: 4
site: 23155, year: 1962, gap-filled: 3
site: 23155, year: 1982, gap-filled: 3
site: 23155, year: 1983, gap-filled: 7
site: 23160, year: 1961, gap-filled: 4
site: 23160, year: 1962, gap-filled: 7
site: 23160, year: 1982, gap-filled: 3
site: 23160, year: 1983, gap-filled: 6
site: 23160, year: 1984, gap-filled: 8
site: 23160, year: 1986, gap-filled: 3
site: 23160, year: 1990, gap-filled: 3
site: 23169, year: 1977, gap-filled: 2
site: 23169, year: 1979, gap-filled: 1
site: 23169, year: 1982, gap-filled: 3
site: 23169, year: 1989, gap-filled: 4
site: 23169, year: 1990, gap-filled: 4
site: 23174, year: 1961, gap-filled: 1
site: 23174, year: 1967, gap-filled: 1
site: 23174, year: 1969, gap-filled: 1
site: 23174, year: 1975, gap-filled: 6
site: 23174, year: 1979, gap-filled: 4
site: 23174, year: 1982, gap-filled: 1
site: 23174, year: 1984, gap-filled: 4
site: 23174, year: 1986, gap-filled: 4
site: 23174, year: 1989, gap-filled: 2
site: 23174, year: 1990, gap-filled: 3
site: 23183, year: 1964, gap-filled: 6
site: 23183, year: 1973, gap-filled: 4
site: 23183, year: 1975, gap-filled: 3
site: 23183, year: 1976, gap-filled: 10
site: 23183, year: 1977, gap-filled: 9
site: 23183, year: 1978, gap-filled: 5
site: 23183, year: 1979, gap-filled: 1
site: 23183, year: 1982, gap-filled: 1
site: 23183, year: 1985, gap-filled: 1
site: 23183, year: 1990, gap-filled: 2
site: 23185, year: 1962, gap-filled: 2
site: 23185, year: 1964, gap-filled: 2
site: 23185, year: 1985, gap-filled: 1
site: 23188, year: 1963, gap-filled: 1
site: 23188, year: 1964, gap-filled: 1
site: 23188, year: 1982, gap-filled: 1
site: 23188, year: 1985, gap-filled: 3
site: 23188, year: 1986, gap-filled: 19
site: 23188, year: 1988, gap-filled: 6
site: 23188, year: 1989, gap-filled: 3
site: 23232, year: 1963, gap-filled: 3
site: 23232, year: 1981, gap-filled: 3
site: 23232, year: 1983, gap-filled: 4
site: 23232, year: 1986, gap-filled: 3
site: 23232, year: 1988, gap-filled: 4
site: 23234, year: 1966, gap-filled: 2
